mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__gb1__subsample,param_model__gb1__n_estimators,param_model__gb1__min_samples_split,param_model__gb1__min_samples_leaf,param_model__gb1__max_depth,param_model__gb1__learning_rate,param_model__dt1__min_samples_split,param_model__dt1__min_samples_leaf,param_model__dt1__max_features,param_model__dt1__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14.093428055445353,0.11416321741568682,0.6220956643422445,0.10632740654020513,0.9722222222222222,9,8,5,3,0.05,2,8,sqrt,5,"{'model__gb1__subsample': 0.9722222222222222, 'model__gb1__n_estimators': 9, 'model__gb1__min_samples_split': 8, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.05, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 8, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 5}",0.7122101839646233,0.7047900481521487,0.7402577708810351,0.719086000999269,0.015274106276391057,235
31.73557758331299,0.9475282371061403,0.5985462665557861,0.0222314325943501,0.9444444444444444,16,1,5,5,0.5,3,6,sqrt,6,"{'model__gb1__subsample': 0.9444444444444444, 'model__gb1__n_estimators': 16, 'model__gb1__min_samples_split': 1, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 5, 'model__gb1__learning_rate': 0.5, 'model__dt1__min_samples_split': 3, 'model__dt1__min_samples_leaf': 6, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 6}",0.8441714257282031,0.8398875967741396,0.8483890721099829,0.8441493648707752,0.0034707478284044177,75
23.806084632873535,0.15208863828354888,0.5833343664805094,0.037974625855288095,0.8888888888888888,50,2,1,1,0.1,2,1,log2,8,"{'model__gb1__subsample': 0.8888888888888888, 'model__gb1__n_estimators': 50, 'model__gb1__min_samples_split': 2, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 1, 'model__gb1__learning_rate': 0.1, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 1, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 8}",0.7403023741145014,0.7289139203164064,0.7319737246397131,0.7337300063568737,0.004812318504308159,229
79.59288438161214,1.8950222165187895,0.6161599159240723,0.057426115941153676,0.9722222222222222,35,1,5,6,0.25,5,8,log2,8,"{'model__gb1__subsample': 0.9722222222222222, 'model__gb1__n_estimators': 35, 'model__gb1__min_samples_split': 1, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 6, 'model__gb1__learning_rate': 0.25, 'model__dt1__min_samples_split': 5, 'model__dt1__min_samples_leaf': 8, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 8}",0.8559768877927105,0.8512406227064406,0.8557562595669028,0.854324590022018,0.0021825535512586852,38
21.020928382873535,0.6262263514122725,0.5334139664967855,0.0047533277400828005,1.0,9,6,2,5,0.5,2,2,sqrt,2,"{'model__gb1__subsample': 1.0, 'model__gb1__n_estimators': 9, 'model__gb1__min_samples_split': 6, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 5, 'model__gb1__learning_rate': 0.5, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 2, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 2}",0.8355187190657611,0.8204277493130452,0.841912482902403,0.8326196504270698,0.009007474436277994,104
13.836427768071493,0.3900741754610982,0.5754465262095133,0.02011191441144319,0.9166666666666666,7,7,5,4,0.35000000000000003,2,10,log2,3,"{'model__gb1__subsample': 0.9166666666666666, 'model__gb1__n_estimators': 7, 'model__gb1__min_samples_split': 7, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.35000000000000003, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 10, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 3}",0.795687871995514,0.7866535147036848,0.7942925732766106,0.7922113199919365,0.0039710296184014265,172
20.65408182144165,0.5606546588147782,0.5490244229634603,0.045864119906534266,0.9444444444444444,12,3,2,4,0.15000000000000002,1,7,sqrt,5,"{'model__gb1__subsample': 0.9444444444444444, 'model__gb1__n_estimators': 12, 'model__gb1__min_samples_split': 3, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.15000000000000002, 'model__dt1__min_samples_split': 1, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 5}",0.7825935553338433,0.7756046318702373,0.7868510111029181,0.781683066102333,0.004636234423310997,185
64.93349345525105,1.2336586137073868,0.5706656773885092,0.023386231524870273,1.0,41,8,2,4,0.5,3,1,sqrt,1,"{'model__gb1__subsample': 1.0, 'model__gb1__n_estimators': 41, 'model__gb1__min_samples_split': 8, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.5, 'model__dt1__min_samples_split': 3, 'model__dt1__min_samples_leaf': 1, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 1}",0.8565083462706866,0.8489068475994933,0.8581574487668713,0.8545242142123503,0.0040287293702573924,36
20.515873193740845,0.8737705792905973,0.5681093533833822,0.020770502237392595,0.8055555555555556,13,5,5,4,0.5,1,4,sqrt,7,"{'model__gb1__subsample': 0.8055555555555556, 'model__gb1__n_estimators': 13, 'model__gb1__min_samples_split': 5, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.5, 'model__dt1__min_samples_split': 1, 'model__dt1__min_samples_leaf': 4, 'model__dt1__max_features': 'sqrt', 'model__dt1__max_depth': 7}",0.8313140283752731,0.824764895893024,0.8347522836043773,0.8302770692908915,0.004142739949295516,107
13.330802281697592,0.5044667152082193,0.5880574385325114,0.01189532829542081,0.7777777777777778,10,2,5,3,0.25,2,7,log2,3,"{'model__gb1__subsample': 0.7777777777777778, 'model__gb1__n_estimators': 10, 'model__gb1__min_samples_split': 2, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.25, 'model__dt1__min_samples_split': 2, 'model__dt1__min_samples_leaf': 7, 'model__dt1__max_features': 'log2', 'model__dt1__max_depth': 3}",0.7813940454144828,0.7768386058250296,0.7896784933088066,0.782637048182773,0.005315039639895824,183
